model_id	model_family	contrast_type	antigen_target	feature	maximum_floor_severity	previous_4vHPV_doses	participants	raw_effect_log2	sd_log2_change	se_log2_change	ci95_lower_log2_change	ci95_upper_log2_change	raw_geometric_mean_ratio	gmr_ci95_lower	gmr_ci95_upper	test_statistic	degrees_freedom	raw_p_value	cohen_dz	sensitivity_requirement	bh_family	raw_q_value	fdr_significant_0_05	evidence_id	mixed_fit_method	mixed_effect_log2	mixed_standard_error	mixed_p_value	mixed_q_value	mixed_raw_effect_difference	mixed_direction_agreement	antigen_class	assay_family	outcome_family	floor_robustness_classification	floor_detection_effect	floor_detection_q_value	floor_conditional_effect	floor_conditional_q_value	bpv_calibrated_effect_log2	bpv_calibrated_q_value	calibration_classification	cluster_robust_estimate_log2	cluster_robust_standard_error	cluster_robust_p_value	boundary_direction_agreement	nominal_significance_agreement	raw_fdr_significant	effect_direction	analysis_context	antigen_group	floor_status	bpv_status	method_status	evidence_grade	evidence_grade_label	claim_readiness	interpretation_guardrail	evidence_priority_score	grade_order
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV45	IgG	none	3	19	3.757959687739072	1.4888060351744288	0.3415555291504629	3.0403781485807007	4.475541226897443	13.528778567163478	8.227066748702386	22.247035925435988	11.002485297445164	18.0	2.013641350929117e-09	2.524143238913448	standard_continuous_model	HPVVT-FJ-M03|Antibody abundance|dose_specific_recall	3.20790980495952e-08	yes	HPV45|IgG|dose3	mixedlm_powell	3.757959687739071	0.4036446439028926	1.2774873118908051e-20	1.5329847742689662e-19	-8.881784197001252e-16	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance						2.4868066384378107	0.0001322443247922	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	19.25173753877503	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV45	IgG	none	2	21	3.669228503340243	1.6369983880180567	0.3572223345530207	2.924075770915674	4.414381235764813	12.721778812954511	7.58987313380278	21.323631279808925	10.271554011121436	20.0	2.012410165722082e-09	2.241436845751964	standard_continuous_model	HPVVT-FJ-M03|Antibody abundance|dose_specific_recall	3.20790980495952e-08	yes	HPV45|IgG|dose2	mixedlm_powell	3.6692285033402414	0.3839426403388902	1.215595026464958e-21	1.701833037050941e-20	-1.7763568394002505e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance						3.047909002230116	6.742206910539109e-06	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	19.1630063543762	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV58	IgG	none	2	21	2.5037487786885464	1.1756032477612022	0.2565376604810301	1.968620596078024	3.038876961299069	5.671572446850558	3.913937168239748	8.218510578273047	9.759770842198382	20.0	4.754435705187191e-09	2.1297566023712853	standard_continuous_model	HPVVT-FJ-M03|Antibody abundance|dose_specific_recall	5.705322846224628e-08	yes	HPV58|IgG|dose2	mixedlm_powell	2.503748778688552	0.3144883075682666	1.7018412213734465e-15	1.58838513994855e-14	5.3290705182007506e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance						1.882429277578419	1.3683081947448457e-05	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	17.747468553884048	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV58	IgG1	none	1	20	4.19510075016283	1.7792132698702934	0.3978441817899654	3.362403307770058	5.0277981925556015	18.316865677575677	10.284525353896614	32.62256221899752	10.54458238219896	19.0	2.2251771349949915e-09	2.357840300094354	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	6.230495977985976e-08	yes	HPV58|IgG1|dose1	mixedlm_lbfgs	4.19510075016283	0.2992879211761647	1.227967146346447e-44	1.0314924029310154e-42	0.0	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						2.998201365515269	2.559359068213553e-07	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	19.400578130160362	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV45	IgG1	none	3	19	3.624392876802324	1.4435036586161871	0.3311624511862734	2.928646384204861	4.3201393693997865	12.332495679572355	7.613956799111704	19.975218365359616	10.944456002844545	18.0	2.188823751829972e-09	2.510830405706656	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	6.230495977985976e-08	yes	HPV45|IgG1|dose3	mixedlm_powell	3.624392876802325	0.3750028389039603	4.247256650534881e-22	5.0967079806418575e-21	8.881784197001252e-16	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						2.7600614752201893	1.7798853055429093e-07	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.829870256799854	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV52	IgG1	none	3	19	3.110324158947204	1.2639124319265898	0.289961398118565	2.5011378668208275	3.719510451073581	8.635766043126997	5.661317622281745	13.172985535753766	10.72668354866807	18.0	3.002412193305938e-09	2.460869978314967	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	6.30506560594247e-08	yes	HPV52|IgG1|dose3	mixedlm_powell	3.110324158947204	0.4114800043026314	4.065837333725861e-14	2.276868906886482e-13	0.0	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						2.2459927573650686	1.0303544598188386e-06	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.310634549061014	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV45	IgG1	none	2	21	3.8836316572683702	1.8118062098496368	0.3953685286298574	3.058907358347212	4.708355956189529	14.760110912910427	8.33341229064363	26.143057197112597	9.822814351782188	20.0	4.26967033469476e-09	2.1435138240257365	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	7.173046162287196e-08	yes	HPV45|IgG1|dose2	mixedlm_powell	3.883631657268372	0.3566988495405482	1.3192361057823931e-27	3.6938610961907006e-26	1.7763568394002505e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						3.3822484398164234	2.014580604098245e-06	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	19.0279280315128	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV58	IgG1	none	3	19	3.147898600238105	1.3250291468016082	0.3039825341133752	2.509254994471016	3.7865422060051945	8.863635780747789	5.693260032316354	13.799481985330644	10.355524567947858	18.0	5.202980823323543e-09	2.3757202683703897	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	7.28417315265296e-08	yes	HPV58|IgG1|dose3	mixedlm_lbfgs	3.147898600238108	0.3070629281673129	1.1635236319062487e-24	1.9547197016024978e-23	2.664535259100376e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						2.28356719865597	2.94105874821494e-07	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.28551833934423	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV31	IgG1	none	3	19	3.184088939904793	1.3817073721446766	0.3169854107749363	2.518127303972895	3.850050575836691	9.088794411058243	5.728380417025011	14.420512925603571	10.044906900038804	18.0	8.335499655422733e-09	2.304459688133872	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	8.75227463819387e-08	yes	HPV31|IgG1|dose3	mixedlm_powell	3.1840889399047896	0.4704190145855876	1.3001387381487493e-11	5.460582700224747e-11	-3.552713678800501e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						2.3197575383226576	1.160456763652786e-05	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.241968002946887	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV58	IgG1	none	2	21	2.588367526482062	1.2494605984110243	0.2726546557182542	2.0196198809269323	3.1571151720371917	6.014177828596152	4.054769433983458	8.920441850732635	9.493208614624695	20.0	7.530666702375801e-09	2.071587955453549	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	8.75227463819387e-08	yes	HPV58|IgG1|dose2	mixedlm_lbfgs	2.5883675264820623	0.292075104108434	7.859653950832941e-19	7.335677020777409e-18	4.440892098500626e-16	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture						2.086984309030114	6.595571525190678e-06	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	17.646246589524157	1
HPVVT-FJ-M01	Primary 2vHPV induction	primary_induction	HPV18	IgG	none	0	20	3.750673700138944	1.7864243581986583	0.3994566301593633	2.9146013645225315	4.586746035755357	13.4606269307239	7.540192545821873	24.02968840212556	9.389439095409712	19.0	1.4376758314072433e-08	2.099542408793025	standard_continuous_model	HPVVT-FJ-M01|Antibody abundance|primary_induction	1.0063730819850702e-07	yes	HPV18|IgG|dose0	mixedlm_powell	3.750673700139008	0.3625689802884219	4.42218269607393e-25	2.4764223098014013e-24	6.394884621840903e-14	yes	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance						3.825930884617277	8.648292375665001e-08	bpv_calibrated_supported						True	increased	primary_2vHPV_induction	vaccine_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.747914688196026	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV52	IgG	none	1	20	4.433932293106385	2.0905634197370127	0.4674641917806386	3.455518495134991	5.4123460910777785	21.61457093874417	10.970204350936342	42.58714440685217	9.485073661400452	19.0	1.2247729373120316e-08	2.120926947848424	standard_continuous_model	HPVVT-FJ-M03|Antibody abundance|dose_specific_recall	1.1431214081578961e-07	yes	HPV52|IgG|dose1	mixedlm_powell	4.4339322931063805	0.4216537380739973	7.323127095602787e-26	1.5378566900765852e-24	-4.440892098500626e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance						3.426599646220737	7.710370439838729e-07	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	19.37583993489576	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV52	IgG	none	2	21	3.181324734446331	1.5770834335458834	0.3441478195945175	2.46344496231593	3.899204506576732	9.071396941986375	5.515321409162499	14.920298632528032	9.244064769013027	20.0	1.1664655203317757e-08	2.017220311098889	standard_continuous_model	HPVVT-FJ-M03|Antibody abundance|dose_specific_recall	1.1431214081578961e-07	yes	HPV52|IgG|dose2	mixedlm_powell	3.1813247344463296	0.4114919137454355	1.0654064193367891e-14	8.949413922429031e-14	-1.3322676295501878e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance						2.5600052333362027	1.2074363548313014e-05	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.123232376235705	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV18	IgG3	none	2	21	3.559389144155444	1.7948129852181829	0.3916603030024752	2.7424000683472185	4.376378219963669	11.78916099730706	6.691826627366697	20.76926447138361	9.08794972804009	20.0	1.540403545735139e-08	1.9831532162236691	standard_continuous_model	HPVVT-FJ-M03|IgG subclass architecture|dose_specific_recall	1.4377099760194633e-07	yes	HPV18|IgG3|dose2	mixedlm_powell	3.5593891441554457	0.5249581912100466	1.199026828562322e-11	5.3009607157492124e-11	1.7763568394002505e-15	yes	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture						2.274550080603936	0.0050443745976716	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	vaccine_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.401717857912345	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV45	FcgR3A	high	2	21	5.7771702456410985	2.6194815109019767	0.5716177288212191	4.58479655751092	6.969543933771277	54.84051619417462	23.99723960511819	125.32617359048602	10.10670235430711	20.0	2.6458481911597253e-09	2.205463265000035	two_part_floor_sensitivity_required	HPVVT-FJ-M03|Fc-receptor engagement|dose_specific_recall	1.6668843604306274e-07	yes	HPV45|FcgR3A|dose2	mixedlm_powell	5.777170245641095	0.5998506929565178	5.914310836679864e-22	1.2420052757027715e-20	-3.552713678800501e-15	yes	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	sensitivity_supported	0.3333333333333333	0.125	4.430251740368671	1.934472949082169e-05	4.593993674214588	3.1895829520702574e-05	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	20.555264773808823	1
HPVVT-FJ-M03	Heterologous 2vHPV recall	dose_specific_recall	HPV58	IgG	none	3	19	3.335402683273118	1.554153063317383	0.356547165568139	2.586324884745572	4.084480481800664	10.093836256710125	6.005668672006937	16.964893659914207	9.354730608945747	18.0	2.467731294492281e-08	2.146122387812696	standard_continuous_model	HPVVT-FJ-M03|Antibody abundance|dose_specific_recall	2.0728942873735165e-07	yes	HPV58|IgG|dose3	mixedlm_powell	3.3354026832731165	0.3306262644023345	6.234213123888407e-24	1.0473478048132524e-22	-1.3322676295501878e-15	yes	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance						2.064249633971856	0.0010278263036358	bpv_calibrated_supported						True	increased	heterologous_2vHPV_recall	cross_reactive_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	18.018825528589286	1
HPVVT-FJ-M01	Primary 2vHPV induction	primary_induction	HPV16	FcgR3A	low	0	20	6.662738455416481	3.13368090977363	0.700712353404722	5.196130644519373	8.129346266313588	101.31742144355236	36.65989235386677	280.0122757831191	9.508521468249572	19.0	1.1777724444886764e-08	2.1261700368522147	continuous_model_plus_floor_summary	HPVVT-FJ-M01|Fc-receptor engagement|primary_induction	2.473322133426221e-07	yes	HPV16|FcgR3A|dose0	mixedlm_powell	6.662738455416506	0.5093125568339286	4.182678638412597e-39	4.3918125703332253e-38	2.5757174171303632e-14	yes	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement						6.294517917069219	4.662949455420815e-06	bpv_calibrated_supported						True	increased	primary_2vHPV_induction	vaccine_type	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	Robust and supported after BPV calibration	claim_ready	May support a primary HPV-associated systems-serology claim.	21.26945777146178	1
